epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_f1,val_loss
105,0.0003124999930150807,1297651,0.6136477589607239,0.6365782618522644,,,,
106,,1309893,,,0.613361656665802,0.6691879034042358,0.5978065729141235,0.6370841860771179
106,0.0003124999930150807,1309893,0.613541841506958,0.6364213824272156,,,,
107,,1322135,,,0.6136356592178345,0.6691430807113647,0.602002739906311,0.6365613341331482
107,0.0003124999930150807,1322135,0.6147080659866333,0.6363667845726013,,,,
108,,1334377,,,0.613760769367218,0.6691718697547913,0.6126949191093445,0.6363519430160522
108,0.0003124999930150807,1334377,0.6139482855796814,0.6364295482635498,,,,
109,,1346619,,,0.6136773824691772,0.6691560745239258,0.6180726289749146,0.6362255811691284
109,0.0003124999930150807,1346619,0.6143990159034729,0.6364197731018066,,,,
110,,1358861,,,0.613480806350708,0.6691105961799622,0.6174164414405823,0.636396586894989
110,0.00015624999650754035,1358861,0.6146058440208435,0.636360228061676,,,,
111,,1371103,,,0.613867998123169,0.6691461205482483,0.621006190776825,0.6364332437515259
111,0.00015624999650754035,1371103,0.6145254969596863,0.6363916993141174,,,,
112,,1383345,,,0.6134272217750549,0.669127345085144,0.6073604226112366,0.6364403963088989
112,0.00015624999650754035,1383345,0.61429762840271,0.6363062262535095,,,,
113,,1395587,,,0.6136059165000916,0.6692097783088684,0.6214085221290588,0.6363365650177002
113,0.00015624999650754035,1395587,0.6142990589141846,0.6363270282745361,,,,
114,,1407829,,,0.6136535406112671,0.6692261695861816,0.6180355548858643,0.6362586617469788
114,0.00015624999650754035,1407829,0.6140583157539368,0.636478066444397,,,,
115,,1420071,,,0.6135344505310059,0.669160008430481,0.612898051738739,0.6362100839614868
115,0.00015624999650754035,1420071,0.6144232749938965,0.6362520456314087,,,,
